date,server,slug,item,side,price_min,price_max,price_weighted_mean,price_weighted_median,quantity_total,pct_10,pct_30,pct_50,pct_70,pct_90
2025-10-20,devaloka,perkitem_weapon_onexhaustdmg,Died Sap,sell,355.0,450.0,393.0,355.0,5,355.0,355.0,355.0,378.75,426.25
2025-10-20,devaloka,perkitem_weapon_pvpzone_1,Abrasive Ore,sell,149.0,155.0,150.33333333333334,149.3125,15,149.0,149.0,149.3125,149.6875,151.25
2025-10-20,devaloka,perkitem_weapon_rendingstacks,Heavy Metal Conglomerate,sell,2100.99,7499.0,3524.769539473684,2292.0,152,2272.9945185185184,2276.784615384616,2292.0,3512.57,6579.42
2025-10-20,devaloka,petrifiedfiret1,Petrified Fire,sell,98.99,100.0,99.3703125,98.992,32,98.99,98.99,98.992,100.0,100.0
2025-10-20,devaloka,petrifiedfragmentst1,Petrified Fragments,sell,0.03,0.19,0.1259093492469452,0.08,14076,0.08,0.08,0.08,0.19,0.19
2025-10-20,devaloka,petrifiedheartt1,Petrified Heart,sell,300.8,329.99,317.2878947368421,311.4,19,300.818,300.8755,311.4,328.92925,329.99
2025-10-20,devaloka,petrifiedwoodt1,Petrified Wood,sell,0.05,0.52,0.3303324007460698,0.2787194438214846,30024,0.1192146341463414,0.2450527023996411,0.2787194438214846,0.4119136,0.4839712
2025-10-20,devaloka,phasefibert1,Phasefiber,sell,0.41,5.1,1.2620063599324258,0.919865694551036,20126,0.52,0.6957525773195875,0.919865694551036,0.9353115886415962,1.4548412197686649
2025-10-20,devaloka,philosophersstonet1,Philosopher's Stone,sell,230.0,499.98,274.0733333333333,238.5,27,230.98,238.0,238.5,240.0,364.0000000000001
2025-10-20,devaloka,pigmentblack,Black Pigment,sell,17.99,25.93,25.55,25.464603174603173,91,22.26,25.198825396825395,25.464603174603173,25.73038095238095,25.92
2025-10-20,devaloka,pigmentblue,Blue Pigment,sell,9.8,40.0,19.945744680851064,16.85,94,9.88,16.330000000000002,16.85,18.461428571428574,24.376363636363635
2025-10-20,devaloka,pigmentbrown,Brown Pigment,sell,15.86,17.89,17.819658119658122,17.865000000000002,117,17.860073684210526,17.862536842105264,17.865000000000002,17.867463157894736,17.869926315789474
2025-10-20,devaloka,pigmentcyan,Cyan Pigment,sell,1.6,4.0,3.246540880503144,3.6025,159,1.6608163265306124,1.7906122448979591,3.6025,3.7615,3.9205
2025-10-20,devaloka,pigmentgreen,Green Pigment,sell,188.0,200.0,199.0091743119266,193.46,109,188.228,190.844,193.46,196.076,198.692
2025-10-20,devaloka,pigmentorange,Orange Pigment,sell,4.5,19.0,6.480578512396694,4.55,121,4.5,4.5,4.55,4.55,8.374687500000004
2025-10-20,devaloka,pigmentpurple,Purple Pigment,sell,24.0,40.9,39.012926829268295,39.9855,164,37.6,39.98222,39.9855,39.98878,40.5
2025-10-20,devaloka,pigmentred,Red Pigment,sell,35.86,35.86,35.86,35.86,1,35.86,35.86,35.86,35.86,35.86
2025-10-20,devaloka,pigmentturquoise,Turquoise Pigment,sell,0.5,20.95,5.900530612244897,2.96895,245,0.5,1.6,2.96895,4.502649999999999,10.31567567567568
2025-10-20,devaloka,pigmentwhite,White Pigment,sell,13.88,13.92,13.909090909090908,13.893636363636364,33,13.88,13.881636363636364,13.893636363636364,13.905636363636363,13.917636363636364
2025-10-20,devaloka,pigmentyellow,Yellow Pigment,sell,1.65,195.0,94.4031828978622,4.354193548387097,421,1.6580285714285714,3.4,4.354193548387097,147.65999999999997,195.0
2025-10-20,devaloka,piranhatootht5,Piranha Tooth,sell,17.0,50.0,21.9828323699422,21.14625,173,17.0,21.0,21.14625,21.49986956521739,21.7997
2025-10-20,devaloka,poisonstingert5,Poison Sac,sell,4.81,9.75,7.039681069958848,4.956666666666667,972,4.81,4.81,4.956666666666667,8.102740384615386,9.200913461538462
2025-10-20,devaloka,ponder_azothflute_part1_page1,Ebonscale Moon: Azoth Flute Sheet Music 1/2,sell,100.0,100.0,100.0,100.0,2,100.0,100.0,100.0,100.0,100.0
2025-10-20,devaloka,porkbellyt1,Pork Belly,sell,0.39,5.56,1.2900449982692974,0.4,2889,0.39,0.39,0.4,0.8007851239669418,2.3129338842975216
2025-10-20,devaloka,porkt1,Pork,sell,0.08,1.0,0.3893452527743526,0.28,8110,0.13,0.18,0.28,0.4435264900662252,1.0
2025-10-20,devaloka,potatot1,Potato,sell,2.94,8.42,6.5188535453943,5.292959092266348,6036,2.9851266055045875,4.82434704112337,5.292959092266348,6.543775455359809,7.79459181845327
2025-10-20,devaloka,potionboostarcaneabst5,Infused Arcane Absorption Potion,sell,29.99,40.45,35.567898550724635,39.0,276,30.0,30.0,39.0,39.222,39.774
2025-10-20,devaloka,potionboostfireabst5,Infused Fire Absorption Potion,sell,31.9,39.8,32.39341555183947,31.92,2392,31.9,31.91,31.92,31.94,32.978541176470586
2025-10-20,devaloka,potionboosticeabst5,Infused Ice Absorption Potion,sell,34.95,40.0,37.39794871794872,34.95,195,34.95,34.95,34.95,38.75208333333334,39.98525641025641
2025-10-20,devaloka,potionboostlightningabst5,Infused Lightning Absorption Potion,sell,54.9,58.5,55.91526690391459,55.0,281,54.9,55.0,55.0,55.0,58.49
2025-10-20,devaloka,potionboostnatureabst5,Infused Nature Absorption Potion,sell,29.99,33.9,32.06244525547446,31.622285714285717,274,29.99,30.99538028169014,31.622285714285717,33.5,33.5
2025-10-20,devaloka,potionboostvoidabst5,Infused Void Absorption Potion,sell,28.99,33.0,30.16234957020057,29.5,349,28.99319,29.5,29.5,29.8866,31.63119480519481
2025-10-20,devaloka,potionburstregent5,Infused Burst Regen Potion,sell,21.91,29.2,24.460867383512547,21.97,2790,21.91,21.97,21.97,25.91,29.1
2025-10-20,devaloka,potionencumbrancet3,Infused Encumbrance Potion,sell,58.0,60.0,59.61971830985915,59.871428571428574,213,59.0,59.0,59.871428571428574,60.0,60.0
2025-10-20,devaloka,potionfamiliywardancientt5,Infused Ancient Ward Potion,sell,13.99,74.95,21.645222222222227,16.997666666666667,270,13.99,15.475,16.997666666666667,22.99,29.666666666666668
2025-10-20,devaloka,potionfamilywardaeterniant5,Infused Human Ward Potion,sell,26.95,54.0,33.3695,29.9,780,26.98,27.7926,29.9,29.99,46.3
