date       ,server   ,slug                                                          ,item                                                   ,side ,price_min ,price_max ,price_weighted_mean    ,price_weighted_median  ,quantity_total ,pct_10                 ,pct_30                 ,pct_50                 ,pct_70                 ,pct_90
2025-10-19 ,devaloka ,clothingfeet_smeltert5                                        ,Smelter's Shoes                                        ,buy  ,     0.01 ,   300.03 ,  200.02               ,  150.015              ,             3 ,    0.01               ,    0.01               ,  150.015              ,  300.021              ,  300.027
2025-10-19 ,devaloka ,clothingfeet_stonecuttert5                                    ,Stonecutter's Shoes                                    ,buy  ,     0.01 ,   800.0  ,  400.005              ,    0.01               ,             2 ,    0.01               ,    0.01               ,    0.01               ,  320.0059999999999    ,  640.0020000000001
2025-10-19 ,devaloka ,clothingfeet_weavert5                                         ,Weaver's Shoes                                         ,buy  ,  1008.01 ,  1011.11 , 1009.0466666666666    , 1008.015              ,             3 , 1008.01               , 1008.01               , 1008.015              , 1008.329              , 1010.183
2025-10-19 ,devaloka ,clothingfeet_woodworkert5                                     ,Woodworker's Shoes                                     ,buy  ,   100.01 ,  1011.11 ,  703.7066666666666    ,  550.0050000000001    ,             3 ,  100.01               ,  100.01               ,  550.0050000000001    , 1001.111              , 1007.777
2025-10-19 ,devaloka ,clothinghands_blacksmitht5                                    ,Weaponsmith Gloves                                     ,buy  ,   300.0  ,   300.02 ,  300.01               ,  300.005              ,             3 ,  300.0                ,  300.0                ,  300.005              ,  300.011              ,  300.017
2025-10-19 ,devaloka ,clothinghands_cheft5                                          ,Chef Gloves                                            ,buy  ,  1000.02 ,  1000.03 , 1000.025              , 1000.02               ,             2 , 1000.02               , 1000.02               , 1000.02               , 1000.024              , 1000.028
2025-10-19 ,devaloka ,clothinghands_engineert5                                      ,Engineer Gloves                                        ,buy  ,   500.0  ,   500.02 ,  500.01               ,  500.005              ,             3 ,  500.0                ,  500.0                ,  500.005              ,  500.011              ,  500.017
2025-10-19 ,devaloka ,clothinghands_horticulturistt52                               ,Harvester Gloves                                       ,buy  ,   100.0  ,  1007.02 ,  704.6766666666666    ,  553.5050000000001    ,             3 ,  100.0                ,  100.0                ,  553.5050000000001    , 1007.011              , 1007.017
2025-10-19 ,devaloka ,clothinghands_lumberjackt52                                   ,Lumberjack Gloves                                      ,buy  ,  1000.0  ,  2800.04 , 2200.02               , 2500.01               ,             4 , 1000.0                , 1300.002              , 2500.01               , 2500.0260000000003    , 2680.036
2025-10-19 ,devaloka ,clothinghands_outfittert5                                     ,Armorer Gloves                                         ,buy  ,   700.0  ,   700.0  ,  700.0                ,  700.0                ,             1 ,  700.0                ,  700.0                ,  700.0                ,  700.0                ,  700.0
2025-10-19 ,devaloka ,clothinghands_skinnert52                                      ,Skinner Gloves                                         ,buy  ,   100.0  ,  1999.01 ,  801.505              ,  100.0                ,             4 ,  100.0                ,  100.0                ,  100.0                ,  825.6079999999998    , 1602.21
2025-10-19 ,devaloka ,clothinghands_smeltert5                                       ,Smelter's Mitts                                        ,buy  ,  1111.1  ,  1500.06 , 1362.244              , 1350.005              ,             5 , 1111.1                , 1155.5549999999998    , 1350.005              , 1500.025              , 1500.0549999999998
2025-10-19 ,devaloka ,clothinghands_weavert5                                        ,Weaver's Gloves                                        ,buy  ,     0.01 ,  1011.11 ,  529.0325             ,  100.01               ,             4 ,    0.01               ,   20.01               ,  100.01               ,  824.0019999999998    , 1008.666
2025-10-19 ,devaloka ,clothinghands_woodworkert5                                    ,Woodworker's Gloves                                    ,buy  ,  1000.02 ,  1000.04 , 1000.03               , 1000.025              ,             3 , 1000.02               , 1000.02               , 1000.025              , 1000.031              , 1000.037
