timestamp            ,item                                                     ,slug                                                                 ,server   ,top_buy  ,low_sell  ,avg_price ,volume   ,source
2025-10-18T16:20:18Z ,Minstrel Hood                                            ,itempattern_fembardm_head_t3                                         ,devaloka ,         , 19900.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Weaponsmith Pants                                        ,clothinglegs_blacksmitht5                                            ,devaloka ,         ,  1800.0  ,          ,     9.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Profane Coat                                             ,mediumchest_corrupted2t4                                             ,devaloka ,         ,   100.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Profane Pants                                            ,mediumlegs_corrupted2t5                                              ,devaloka ,         ,   170.0  ,          ,     8.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Hat                                     ,mediumhead_lost1t5                                                   ,devaloka ,         ,  1500.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rescuer Gloves                                           ,mediumhands_rescuert5                                                ,devaloka ,         ,    20.0  ,          ,    10.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Smelter's Shoes                                          ,clothingfeet_smeltert5                                               ,devaloka ,         ,  3500.0  ,          ,     7.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Coat                                     ,mediumchest_ancient1t4                                               ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Coat                                             ,mediumchest_leatherdropt4                                            ,devaloka ,         ,    42.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Pants                                     ,mediumlegs_undeadofficert3                                           ,devaloka ,         ,    80.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Archaic Pants                                            ,mediumlegs_ancient2t4                                                ,devaloka ,         ,   100.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Holly Regent Mitts                                       ,mediumhands_hollyking_con                                            ,devaloka ,         ,   800.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rescuer Hat                                              ,mediumhead_rescuert3                                                 ,devaloka ,         ,    50.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Woodworker's Pants                                       ,clothinglegs_woodworkert5                                            ,devaloka ,         ,  5983.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Pants                                   ,mediumlegs_drowned1t4                                                ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
